# Titres de Joueurs - Documentation

## Table des Titres

| Ordre | État | Priorité | Camp | Liens | Titre | Description | Conditions | Condition 1 | Critère 1 | Condition 2 | Critère 2 | Condition 3 | Critère 3 | Condition 4 | Critère 4 |
| 142 | Sur le site | 6 | Tous | | Le·a Potion Addict | Boit beaucoup de potions | 1 | Utilisation de potions | Élevé : 65 (Top 35%) | | | | | | |
| 143 | Sur le site | 6 | Tous | | Le·a Sobre | Boit peu de potions | 1 | Utilisation de potions | Faible : 35 (Top 65%) | | | | | | |
| 144 | Sur le site | 3 | Tous | | Le·a Equilibré·e | Temps de parole normal | 1 | Temps de parole | Moyen : 50 (Top 50%) | | | | | | |
| 145 | Sur le site | 3 | Tous | | Le·a Traveilleur·se | Récolte correcte | 1 | Récolte | Moyen : 50 (Top 50%) | | | | | | |
| 146 | Sur le site | 3 | Tous | | Le·a Constant·e | Performance stable | 1 | Taux de victoire | Moyen : 50 (Top 50%) | | | | | | |
| 147 | Sur le site | 3 | Villageois | | Serial Villageois·e | Joue souvent villageois | 1 | Camp Assigné | Villageois | | | | | | |
| 148 | Sur le site | 3 | Loup | | Serial Loup | Joue souvent Loup | 1 | Camp Assigné | Loup | | | | | | |
| 149 | Sur le site | 3 | Solo | | Serial Solo | Joue souvent en Solo | 1 | Camp Assigné | Solo | | | | | | |
| 150 | Sur le site | 3 | Villageois | | Serial Chasseur | Joue souvent Chasseur | 1 | Rôle Assigné | Chasseur | | | | | | |
| 151 | Sur le site | 3 | Villageois | | Serial Alchimiste | Joue souvent Alchimiste | 1 | Rôle Assigné | Alchimiste | | | | | | |
| 152 | Sur le site | 3 | Solo | | Serial Amoureux | Joue souvent Amoureux | 1 | Rôle Assigné | Amoureux | | | | | | |
| 153 | Sur le site | 3 | Solo | | Serial Agent | Joue souvent Agent | 1 | Rôle Assigné | Agent | | | | | | |
| 154 | Sur le site | 3 | Solo | | Serial Espion | Joue souvent Espion | 1 | Rôle Assigné | Espion | | | | | | |
| 155 | Sur le site | 3 | Solo | | Serial Idiot | Joue souvent Idiot du Village | 1 | Rôle Assigné | Idiot du village | | | | | | |
| 156 | Sur le site | 3 | Solo | | Serial Bounty Hunter | Joue souvent Chasseur de Prime | 1 | Rôle Assigné | Chasseur de Prime | | | | | | |
| 157 | Sur le site | 3 | Solo | | Serial Contrebandier | Joue souvent Contrebandier | 1 | Rôle Assigné | Contrebandier | | | | | | |
| 158 | Sur le site | 3 | Solo | | Serial Bête | Joue souvent La Bête | 1 | Rôle Assigné | La Bête | | | | | | |
| 159 | Sur le site | 3 | Solo | | Serial Vaudou | Joue souvent Vaudou | 1 | Rôle Assigné | Vaudou | | | | | | |
| 160 | Sur le site | 3 | Solo | | Serial Scientifique | Joue souvent Scientifique | 1 | Rôle Assigné | Scientifique | | | | | | |

## Nouveaux Titres (À Intégrer)

| État | Priorité | Camp | Liens | Titre | Description | Conditions | Condition 1 | Critère 1 | Condition 2 | Critère 2 | Condition 3 | Critère 3 |
|------|----------|------|-------|-------|-------------|------------|-------------|-----------|-------------|-----------|-------------|-----------|
| NEW | 12 | Villageois | | Le Récolteur Opti | | 2 | Récolte Villageois | Élevé : 65 (Top 35%) | Victoires récolte | Élevé : 65 (Top 35%) | | |
| NEW | 14 | Loup | | Le Loup Incognito | | 3 | Temps de parole loup | Faible : 35 (Top 65%) | Taux de kills loup | Élevé : 65 (Top 35%) | Taux de retour après transformation | Élevé : 65 (Top 35%) |
| NEW | 14 | Villageois | | Le Villageois Modèle | | 3 | Victoires Villageois | Élevé : 65 (Top 35%) | Récolte Villageois | Élevé : 65 (Top 35%) | Précision de vote villageois | Élevé : 65 (Top 35%) |
| NEW | 14 | Loup | | Le Loup Modèle | | 3 | Victoires Loup | Élevé : 65 (Top 35%) | Taux de kills loup | Élevé : 65 (Top 35%) | Survie loup | Élevé : 65 (Top 35%) |
| NEW | 12 | Loup | | Le Loup Villageois | | 2 | Survie loup | Élevé : 65 (Top 35%) | Précison de vote loup | Faible : 35 (Top 65%) | | |

---

**Note:** Ce document contient la liste complète des titres de joueurs pour le système de statistiques Lycans. Les titres sont organisés par priorité et conditions d'attribution.
